Using SSH key from file C:\Users\KNALHOME\.ssh\id_ed25519_railway.pub: railway-backup-temp
  id   | part_code  |   shrp_part_code   |   customer_part_no   | active | prod_entries | bags | mach_assign | fpa | recipes | mould_links 
-------+------------+--------------------+----------------------+--------+--------------+------+-------------+-----+---------+-------------
     1 | TEMP_1     | DEMO               | DEMO-100             | f      |            0 |    0 |           0 |   0 |       0 |           0
     7 | SHRP-P010  | F364 16C           | F364-CB5AA-01        | t      |           12 |   43 |           1 |   1 |       1 |           2
    10 | SHRP-P051  | AFM BIG            | CA581CAWXX01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    11 | TEMP_11    | DDR                | CA582DDRXX01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    12 | TEMP_12    | UBH                | DM1C4UBH1B01         | f      |            0 |    0 |           0 |   0 |       0 |           1
    13 | TEMP_13    | CB5                | F364-CB5AA-01        | f      |            0 |    0 |           0 |   0 |       0 |           2
    15 | TEMP_15    | F442               | F442-KP8AA-01-00     | f      |            0 |    0 |           0 |   0 |       0 |           0
    16 | TEMP_16    | QQ7                | F442-QQ7AA-01        | t      |            0 |    0 |           0 |   0 |       1 |           2
    18 | TEMP_18    | F495               | F495-MAXLA-03        | f      |            0 |    0 |           0 |   0 |       0 |           0
    20 | TEMP_20    | F720               | F720-AKYAA-01        | f      |            0 |    0 |           0 |   0 |       0 |           0
    22 | TEMP_22    | FC1                | FC1F2AN6BA01         | f      |            0 |    0 |           0 |   0 |       1 |           1
    23 | TEMP_23    | FC1F2C             | FC1F2CEEAA02         | f      |            0 |    0 |           0 |   0 |       0 |           1
    30 | TEMP_30    | HA715L             | HA715L5G1A01         | f      |            0 |    0 |           0 |   0 |       0 |           1
    31 | TEMP_31    | CXG                | HC442CXGAA01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    33 | SHRP-P070  | LAC GREEN          | VPMGH-18B602-DA      | t      |            0 |    0 |           0 |   0 |       1 |           1
    36 | TEMP_36    | OER                | HC442OERAA01         | f      |            0 |    0 |           0 |   0 |       0 |           1
    37 | TEMP_37    | QVE                | HC442QVEAC01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    39 | SHRP-P025  | SULAC              | HC442SULAC01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    40 | SHRP-P059  | UMNAA              | HC442UMNAA02         | t      |            0 |    0 |           0 |   0 |       1 |           1
    41 | SHRP-P027  | QQVBA Y            | HC443QQVBA02         | t      |            0 |    0 |           0 |   0 |       1 |           1
    44 | SHRP-P030  | HL180              | HL180F4W1A01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    45 | SHRP-P031  | VW DIA 16 - HW773A | HW773G9E1A01         | t      |            0 |    0 |           1 |   0 |       1 |           1
    46 | TEMP_46    | HW773G             | HW773G9E1B01         | f      |            0 |    0 |           0 |   0 |       0 |           1
    49 | TEMP_49    | V0LC               | V0LC-01C019-01       | f      |            0 |    0 |           0 |   0 |       1 |           1
    50 | TEMP_50    | V0LC               | V0LC-01C021-00       | t      |            0 |    0 |           0 |   0 |       1 |           1
    51 | TEMP_51    | V0LC               | V0LC-01C022-00       | f      |            0 |    0 |           0 |   0 |       0 |           1
    52 | SHRP-P036  | 2800               | V0LC-01C028-00       | t      |            0 |    0 |           0 |   0 |       1 |           1
    55 | TEMP_55    | VPCV6H             | VPCV6H19E778DA       | f      |            0 |    0 |           0 |   0 |       0 |           0
    59 | SHRP-P060  | DM1C1QRJAA01       | DM1C1QRJAA01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    60 | TEMP_60    | PLFC1E             | PLFC1E4K5MAA-00      | t      |            0 |    0 |           0 |   0 |       1 |           1
    61 | TEMP_61    | PLFC1E             | PLFC1E4K5MBA-00      | t      |            0 |    0 |           0 |   0 |       1 |           1
    62 | SHRP-P040  | BH-DIA 8           | FC1P4L1E1A01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    64 | SHRP-P062  | HR241              | HR241G6C1A01         | t      |            0 |    0 |           0 |   0 |       1 |           1
    65 | TEMP_65    | G6C1A              | HC442G6C1A           | t      |            0 |    0 |           0 |   0 |       1 |           0
    66 | TEMP_66    | G6C1B              | HC442G6C1B           | t      |            0 |    0 |           0 |   0 |       1 |           0
    68 | SHRP-P066  | 9AA                | VPR230WC9AA01        | t      |            0 |    0 |           0 |   0 |       1 |           2
    70 | TEMP_70    | SHRP-T12           | SHRP-T12             | t      |            0 |    0 |           0 |   0 |       1 |           0
    71 | TEMP_71    | SHRP-T3            | SHRP-T3              | t      |            0 |    0 |           0 |   0 |       1 |           0
    72 | TEMP_72    | SHRP               | SHRP-T4              | f      |            0 |    0 |           0 |   0 |       0 |           0
    74 | SHRP-P068  | SHRP-T7            | SHRP-T7              | t      |            0 |    0 |           0 |   0 |       1 |           1
    75 | SHRP-P069  | SHRP-T10           | SHRP-T10             | t      |            0 |    0 |           0 |   0 |       1 |           1
    76 | SHRP-P044  | SHRP-T8            | SHRP-T8              | t      |            0 |    0 |           0 |   0 |       1 |           1
    77 | TEMP_77    | VPMGH              | VPMGH-18B602-DA      | t      |            0 |    0 |           0 |   0 |       1 |           0
    78 | SHRP-P050  | NA-DB              | WC-SCP-SC21NA-DB-01  | t      |            0 |    0 |           0 |   0 |       1 |           1
    79 | SHRP-P006  | NA-LC              | WC-SCP-SC21NA-LC-01  | t      |            2 |    4 |           1 |   0 |       1 |           1
    80 | SHRP-P071  | NA-TB              | WC-SCP-SC21NA-TB-T01 | t      |            0 |    0 |           0 |   0 |       1 |           1
    81 | SHRP-P046  | LMF                | WC-SCP-ECC21-LMF01   | t      |            0 |    0 |           0 |   0 |       1 |           1
    82 | SHRP-P048  | SMF                | WC-SCP-ECC21-SMF01   | t      |            0 |    0 |           0 |   0 |       1 |           1
    85 | SHRP-P045  | DA                 | WC-SCP-ECC21-DA01    | t      |            0 |    0 |           0 |   0 |       1 |           1
    87 | TEMP_87    | BIGGRO             | BIGGROMMET-1316      | f      |            0 |    0 |           0 |   0 |       0 |           0
    88 | SHRP-P073  | SmallGrommet       | SmallGrommet         | t      |            0 |    0 |           0 |   0 |       1 |           1
    89 | SHRP-P074  | VP6T               | VP6TLU11N087AA       | t      |            0 |    0 |           0 |   0 |       1 |           1
    90 | TEMP_90    | VP6TLU             | VP6TLU11N087AA       | t      |            0 |    0 |           0 |   0 |       1 |           0
    91 | SHRP-P075  | HandlePlastic      | HandlePlastic        | t      |            0 |    0 |           0 |   0 |       1 |           2
    92 | TEMP_92    | SYRNGE             | SYRNGECAP            | f      |            0 |    0 |           0 |   0 |       0 |           1
  6553 | SHRP-P011  | F364 GS            | F364-CB5AA-01        | t      |            0 |    0 |           0 |   0 |       1 |           2
  6555 | SHRP-P041  | BH-DIA 16 - MAA    | PLFC1E4K5MAA-00      | t      |            0 |    0 |           0 |   0 |       1 |           1
  6556 | SHRP-P042  | BH-DIA 12 -MBA     | PLFC1E4K5MBA-00      | t      |            0 |    0 |           0 |   0 |       1 |           1
  6557 | SHRP-P064  | OUTLET             | HC442G6C1B           | t      |            0 |    0 |           0 |   0 |       1 |           1
  6559 | SHRP-P047  | LMM                | WC-SCP-eCC21-Lmm01   | t      |            0 |    0 |           0 |   0 |       1 |           1
  6562 | TEMP_6562  | HC442L             | HC442L3LAC01-GRN     | t      |            0 |    0 |           0 |   0 |       1 |           1
  6563 | TEMP_6563  | VK GR -6           | VK Grommet           | t      |            0 |    0 |           0 |   0 |       1 |           1
  6564 | TEMP_6564  | SYRING             | SYRINGE CAP          | f      |            0 |    0 |           0 |   0 |       0 |           0
